"data","volumeOperacional","pluviometria","temperaturaMedia","diferenca","medMov.pluviometria","medMov.diferenca","medMov.temperatura","predito","volumeOperacionalPredito"
"2011-10-11",702.04518,5.15,22,-2.5172,1.59666666666667,-2.403006,21.8666666666667,-1.83753525638889,NA
"2011-10-12",700.13863,0,21,-1.90654999999992,1.59333333333334,-2.39049,22.0666666666667,-1.98534407083333,NA
"2011-10-13",697.848,2.55,22,-2.29063000000007,1.76333333333333,-2.34163333333333,22.3333333333333,-1.15458515805555,NA
"2011-10-14",696.67282,8.4,22,-1.17517999999995,2.32,-2.26962399999999,22.2666666666667,-1.28772502444444,NA
"2011-10-15",695.59013,6.05,18,-1.08268999999995,2.72333333333333,-2.12550399999999,21.7333333333333,-1.26107603111111,NA
"2011-10-16",698.38803,33.05,17,2.79789999999991,4.92666666666667,-1.730408,21.1333333333333,-0.966611971944444,NA
"2011-10-17",700.54153,16.85,17,2.1535,6.05,-1.41008466666667,20.8666666666667,-0.553969735555557,NA
"2011-10-18",701.18988,0.4,18,0.64835000000005,5.13333333333334,-1.31721933333333,20.7333333333333,-0.918149253055553,NA
"2011-10-19",700.61054,0,17,-0.579340000000002,5.13333333333334,-1.19763733333333,20.6666666666667,-0.925695267499998,NA
"2011-10-20",699.18205,0,17,-1.42849000000001,5.13333333333334,-1.11567466666667,20.3333333333333,-1.1509155725,NA
"2011-10-21",697.48719,0,18,-1.69485999999994,5.13,-1.08149733333333,19.9333333333333,-0.989506362777774,NA
"2011-10-22",695.49786,0,20,-1.9893300000001,5.13,-1.05609533333333,19.7333333333333,-0.55679958722222,NA
"2011-10-23",693.05204,0.05,22,-2.44581999999991,5.13333333333334,-0.986644000000001,19.6666666666667,-0.652573511111109,NA
"2011-10-24",690.83546,3,23,-2.21658000000002,5.32,-0.99097,19.8,0.193081775833332,NA
"2011-10-25",688.6974,0,24,-2.13805999999999,5.03333333333333,-1.05766533333332,19.8666666666667,-1.02262980944444,NA
"2011-10-26",686.25047,5.35,22,-2.44693000000006,5.04666666666667,-1.05298066666666,19.8666666666667,-1.05338586916666,NA
"2011-10-27",683.13156,0,25,-3.11890999999991,5.04666666666667,-1.13380466666666,20.1333333333333,-1.11565168749999,NA
"2011-10-28",680.56619,0,26,-2.56537000000003,4.87666666666667,-1.15212066666666,20.4,-0.948360493611106,NA
"2011-10-29",678.54532,0,24,-2.02087000000005,4.31666666666667,-1.2085,20.5333333333333,-0.802786457777777,NA
"2011-10-30",677.80399,19.4,21,-0.741329999999948,5.20666666666667,-1.18574266666666,20.7333333333333,-0.564742237222219,NA
"2011-10-31",678.95336,4.8,15,1.14936999999997,3.32333333333334,-1.29564466666666,20.6,-0.288582816388887,NA
"2011-11-01",677.68828,0.2,16,-1.26508000000001,2.21333333333334,-1.52355,20.5333333333333,-1.50120668722222,NA
"2011-11-02",675.54136,0,16,-2.1469199999999,2.18666666666667,-1.70990133333333,20.4,-1.73656431361111,NA
"2011-11-03",673.36584,0,16,-2.17552,2.18666666666667,-1.81631333333333,20.3333333333333,-1.64291157777777,NA
"2011-11-04",670.79165,0,18,-2.57419000000004,2.18666666666667,-1.89269333333333,20.4,-1.73656431361111,NA
"2011-11-05",669.31145,0,21,-1.48019999999996,2.18666666666667,-1.87838266666666,20.6,-1.8264185711111,NA
"2011-11-06",667.11357,0,21,-2.19788000000005,2.18666666666667,-1.89228599999999,20.6666666666667,-1.64369859555555,NA
"2011-11-07",664.9079,0,21,-2.20566999999994,2.18333333333333,-1.87627599999999,20.6,-1.8264185711111,NA
"2011-11-08",662.8153,9.5,22,-2.09260000000006,2.61666666666667,-1.86801066666666,20.5333333333333,-0.957267224444442,NA
"2011-11-09",660.18553,0,23,-2.62977,2.61666666666667,-1.90079133333333,20.4666666666667,-1.3214184525,NA
"2011-11-10",657.95286,1.2,26,-2.23266999999998,2.34,-1.88650733333333,20.7333333333333,-1.18912468611111,NA
"2011-11-11",655.29569,0.35,23,-2.65716999999995,2.36333333333334,-1.85572466666666,20.6,-1.84863795444444,NA
"2011-11-12",653.06638,0.05,22,-2.22931000000005,2.36666666666667,-1.83332066666666,20.3333333333333,-1.43056266833333,NA
"2011-11-13",652.67375,4.3,21,-0.39262999999994,2.65333333333334,-1.72477133333332,20.1333333333333,-1.04847493666666,NA
"2011-11-14",656.20372,53.45,20,3.52996999999993,4.92333333333333,-1.440018,20.0666666666667,-1.15893672055555,NA
"2011-11-15",660.03471,13.2,19,3.83099000000004,5.48333333333334,-1.26124333333333,20.3333333333333,-0.875442390277775,NA
"2011-11-16",670.09818,50.35,17,10.0634699999999,8.82666666666667,-0.506006666666667,20.4,0.311495605833331,NA
